Sample,Nominator_Plate,Nominator_Well,Nominator_Measurement,Nominator_Value,Denominator_Sample,Denominator_Plate,Denominator_Well,Denominator_Measurement,Denominator_Value,Ratio,Ratio_Mean,Ratio_Std
2P-M_CAA,3_11946,E06,Meas A,437.0000,2P-M_CAA,3_11946,E06,Meas B,0.1430,3055.9441,2834.5198,878.7977
3P-M_CAA,3_11946,E07,Meas A,530.0000,3P-M_CAA,3_11946,E07,Meas B,0.1650,3212.1212,2756.1392,519.5844
1S-M_CAA,3_11946,E08,Meas A,572.0000,1S-M_CAA,3_11946,E08,Meas B,0.1490,3838.9262,3487.3018,631.1746
2S-M_CAA,3_11946,E09,Meas A,553.0000,2S-M_CAA,3_11946,E09,Meas B,0.1840,3005.4348,2358.3318,686.6843
3S-M_CAA,3_11946,E10,Meas A,555.0000,3S-M_CAA,3_11946,E10,Meas B,0.1700,3264.7059,2792.8449,656.0580
1M-H_CAA,3_11946,F02,Meas A,474.0000,1M-H_CAA,3_11946,F02,Meas B,0.0440,10772.7273,5003.2286,3903.8916
2M-M_Glc,3_11946,F03,Meas A,602.0000,2M-M_Glc,3_11946,F03,Meas B,0.1770,3401.1299,7809.9020,4124.5647
3M-M_Glc,3_11946,F04,Meas A,438.0000,3M-M_Glc,3_11946,F04,Meas B,0.0470,9319.1489,8407.8385,2216.6254
1P-M_Glc,3_11946,F05,Meas A,339.0000,1P-M_Glc,3_11946,F05,Meas B,0.0450,7533.3333,8745.3682,3256.9156
2P-M_Glc,3_11946,F06,Meas A,436.0000,2P-M_Glc,3_11946,F06,Meas B,0.0470,9276.5957,8259.0926,2752.7861
3P-M_Glc,3_11946,F07,Meas A,449.0000,3P-M_Glc,3_11946,F07,Meas B,0.0440,10204.5455,8845.0948,2611.7564
1S-M_Glc,3_11946,F08,Meas A,428.0000,1S-M_Glc,3_11946,F08,Meas B,0.0420,10190.4762,9598.8983,2441.9772
2S-M_Glc,3_11946,F09,Meas A,555.0000,2S-M_Glc,3_11946,F09,Meas B,0.0470,11808.5106,10203.4504,1717.5875
3S-M_Glc,3_11946,F10,Meas A,469.0000,3S-M_Glc,3_11946,F10,Meas B,0.0440,10659.0909,9696.8333,2432.2553
1M-M_Glc,3_11946,G02,Meas A,530.0000,1M-M_Glc,3_11946,G02,Meas B,0.1680,3154.7619,6688.6905,3682.7114
2M-H_CAA,3_11946,G03,Meas A,595.0000,2M-H_CAA,3_11946,G03,Meas B,0.1650,3606.0606,2952.8057,881.8995
3M-H_CAA,3_11946,G04,Meas A,453.0000,3M-H_CAA,3_11946,G04,Meas B,0.1420,3190.1408,2905.8998,839.0085
1P-H_CAA,3_11946,G05,Meas A,609.0000,1P-H_CAA,3_11946,G05,Meas B,0.1440,4229.1667,3308.6178,917.4517
2P-H_CAA,3_11946,G06,Meas A,378.0000,2P-H_CAA,3_11946,G06,Meas B,0.1510,2503.3113,2113.5251,727.9098
3P-H_CAA,3_11946,G07,Meas A,492.0000,3P-H_CAA,3_11946,G07,Meas B,0.1640,3000.0000,2577.8530,914.6666
1S-H_CAA,3_11946,G08,Meas A,621.0000,1S-H_CAA,3_11946,G08,Meas B,0.1480,4195.9459,3411.0301,1034.0251
2S-H_CAA,3_11946,G09,Meas A,490.0000,2S-H_CAA,3_11946,G09,Meas B,0.1810,2707.1823,2078.3117,541.0262
3S-H_CAA,3_11946,G10,Meas A,469.0000,3S-H_CAA,3_11946,G10,Meas B,0.1580,2968.3544,2558.4529,502.3853
1M-H_Glc,3_11946,H02,Meas A,532.0000,1M-H_Glc,3_11946,H02,Meas B,0.0450,11822.2222,9811.1694,2171.2556
2M-H_Glc,3_11946,H03,Meas A,478.0000,2M-H_Glc,3_11946,H03,Meas B,0.0470,10170.2128,9162.0990,2465.6315
3M-H_Glc,3_11946,H04,Meas A,551.0000,3M-H_Glc,3_11946,H04,Meas B,0.0460,11978.2609,9656.0394,2762.4830
1P-H_Glc,3_11946,H05,Meas A,466.0000,1P-H_Glc,3_11946,H05,Meas B,0.0450,10355.5556,8984.6781,2787.4169
2P-H_Glc,3_11946,H06,Meas A,403.0000,2P-H_Glc,3_11946,H06,Meas B,0.0480,8395.8333,7187.3402,1662.9090
3P-H_Glc,3_11946,H07,Meas A,427.0000,3P-H_Glc,3_11946,H07,Meas B,0.0450,9488.8889,8037.5302,1979.7857
1S-H_Glc,3_11946,H08,Meas A,503.0000,1S-H_Glc,3_11946,H08,Meas B,0.0470,10702.1277,8179.5447,3204.3100
2S-H_Glc,3_11946,H09,Meas A,408.0000,2S-H_Glc,3_11946,H09,Meas B,0.0450,9066.6667,7642.2258,1915.9354
3S-H_Glc,3_11946,H10,Meas A,489.0000,3S-H_Glc,3_11946,H10,Meas B,0.0430,11372.0930,8526.3566,2338.1320
3S-H_Glc,4_11947,A02,Meas A,423.0000,3S-H_Glc,4_11947,A02,Meas B,0.0470,9000.0000,8526.3566,2338.1320
2S-H_Glc,4_11947,A03,Meas A,410.0000,2S-H_Glc,4_11947,A03,Meas B,0.0470,8723.4043,7642.2258,1915.9354
1S-H_Glc,4_11947,A04,Meas A,515.0000,1S-H_Glc,4_11947,A04,Meas B,0.0460,11195.6522,8179.5447,3204.3100
3P-H_Glc,4_11947,A05,Meas A,470.0000,3P-H_Glc,4_11947,A05,Meas B,0.0480,9791.6667,8037.5302,1979.7857
2P-H_Glc,4_11947,A06,Meas A,413.0000,2P-H_Glc,4_11947,A06,Meas B,0.0480,8604.1667,7187.3402,1662.9090
1P-H_Glc,4_11947,A07,Meas A,536.0000,1P-H_Glc,4_11947,A07,Meas B,0.0450,11911.1111,8984.6781,2787.4169
3M-H_Glc,4_11947,A08,Meas A,552.0000,3M-H_Glc,4_11947,A08,Meas B,0.0460,12000.0000,9656.0394,2762.4830
2M-H_Glc,4_11947,A09,Meas A,548.0000,2M-H_Glc,4_11947,A09,Meas B,0.0450,12177.7778,9162.0990,2465.6315
1M-H_Glc,4_11947,A10,Meas A,536.0000,1M-H_Glc,4_11947,A10,Meas B,0.0470,11404.2553,9811.1694,2171.2556
Glc_Spc,4_11947,A11,Meas A,607.0000,Glc_Spc,4_11947,A11,Meas B,0.0420,14452.3810,10040.2151,4106.5673
3S-H_CAA,4_11947,B02,Meas A,545.0000,3S-H_CAA,4_11947,B02,Meas B,0.1860,2930.1075,2558.4529,502.3853
2S-H_CAA,4_11947,B03,Meas A,502.0000,2S-H_CAA,4_11947,B03,Meas B,0.2160,2324.0741,2078.3117,541.0262
1S-H_CAA,4_11947,B04,Meas A,735.0000,1S-H_CAA,4_11947,B04,Meas B,0.1670,4401.1976,3411.0301,1034.0251
3P-H_CAA,4_11947,B05,Meas A,646.0000,3P-H_CAA,4_11947,B05,Meas B,0.1810,3569.0608,2577.8530,914.6666
2P-H_CAA,4_11947,B06,Meas A,482.0000,2P-H_CAA,4_11947,B06,Meas B,0.1640,2939.0244,2113.5251,727.9098
1P-H_CAA,4_11947,B07,Meas A,587.0000,1P-H_CAA,4_11947,B07,Meas B,0.1480,3966.2162,3308.6178,917.4517
3M-H_CAA,4_11947,B08,Meas A,574.0000,3M-H_CAA,4_11947,B08,Meas B,0.1450,3958.6207,2905.8998,839.0085
2M-H_CAA,4_11947,B09,Meas A,679.0000,2M-H_CAA,4_11947,B09,Meas B,0.1780,3814.6067,2952.8057,881.8995
1M-H_CAA,4_11947,B10,Meas A,675.0000,1M-H_CAA,4_11947,B10,Meas B,0.1710,3947.3684,5003.2286,3903.8916
CAA_Spc,4_11947,B11,Meas A,437.0000,CAA_Spc,4_11947,B11,Meas B,0.0380,11500.0000,9874.5574,1273.1378
3S-M_Glc,4_11947,C02,Meas A,538.0000,3S-M_Glc,4_11947,C02,Meas B,0.0450,11955.5556,9696.8333,2432.2553
2S-M_Glc,4_11947,C03,Meas A,529.0000,2S-M_Glc,4_11947,C03,Meas B,0.0460,11500.0000,10203.4504,1717.5875
1S-M_Glc,4_11947,C04,Meas A,532.0000,1S-M_Glc,4_11947,C04,Meas B,0.0430,12372.0930,9598.8983,2441.9772
3P-M_Glc,4_11947,C05,Meas A,509.0000,3P-M_Glc,4_11947,C05,Meas B,0.0430,11837.2093,8845.0948,2611.7564
2P-M_Glc,4_11947,C06,Meas A,547.0000,2P-M_Glc,4_11947,C06,Meas B,0.0480,11395.8333,8259.0926,2752.7861
1P-M_Glc,4_11947,C07,Meas A,583.0000,1P-M_Glc,4_11947,C07,Meas B,0.0430,13558.1395,8745.3682,3256.9156
3M-M_Glc,4_11947,C08,Meas A,542.0000,3M-M_Glc,4_11947,C08,Meas B,0.0490,11061.2245,8407.8385,2216.6254
2M-M_Glc,4_11947,C09,Meas A,614.0000,2M-M_Glc,4_11947,C09,Meas B,0.0460,13347.8261,7809.9020,4124.5647
1M-M_Glc,4_11947,C10,Meas A,534.0000,1M-M_Glc,4_11947,C10,Meas B,0.0450,11866.6667,6688.6905,3682.7114
Glc,4_11947,C11,Meas A,580.0000,Glc,4_11947,C11,Meas B,0.0390,14871.7949,9466.8161,4537.0565
3S-M_CAA,4_11947,D02,Meas A,601.0000,3S-M_CAA,4_11947,D02,Meas B,0.1750,3434.2857,2792.8449,656.0580
2S-M_CAA,4_11947,D03,Meas A,558.0000,2S-M_CAA,4_11947,D03,Meas B,0.1930,2891.1917,2358.3318,686.6843
1S-M_CAA,4_11947,D04,Meas A,670.0000,1S-M_CAA,4_11947,D04,Meas B,0.1610,4161.4907,3487.3018,631.1746
3P-M_CAA,4_11947,D05,Meas A,572.0000,3P-M_CAA,4_11947,D05,Meas B,0.1800,3177.7778,2756.1392,519.5844
2P-M_CAA,4_11947,D06,Meas A,621.0000,2P-M_CAA,4_11947,D06,Meas B,0.1560,3980.7692,2834.5198,878.7977
1P-M_CAA,4_11947,D07,Meas A,633.0000,1P-M_CAA,4_11947,D07,Meas B,0.1510,4192.0530,3294.1171,1029.2851
3M-M_CAA,4_11947,D08,Meas A,601.0000,3M-M_CAA,4_11947,D08,Meas B,0.1570,3828.0255,3124.9957,665.5714
2M-M_CAA,4_11947,D09,Meas A,644.0000,2M-M_CAA,4_11947,D09,Meas B,0.2000,3220.0000,3672.1762,2181.8051
1M-M_CAA,4_11947,D10,Meas A,724.0000,1M-M_CAA,4_11947,D10,Meas B,0.1710,4233.9181,3486.8167,542.8848
CAA,4_11947,D11,Meas A,425.0000,CAA,4_11947,D11,Meas B,0.0390,10897.4359,9667.2822,3257.6978
3S-O_Glc,4_11947,E02,Meas A,490.0000,3S-O_Glc,4_11947,E02,Meas B,0.0440,11136.3636,9569.6158,2505.6262
2S-O_Glc,4_11947,E03,Meas A,461.0000,2S-O_Glc,4_11947,E03,Meas B,0.0450,10244.4444,7796.5935,2077.1773
1S-O_Glc,4_11947,E04,Meas A,459.0000,1S-O_Glc,4_11947,E04,Meas B,0.0450,10200.0000,8115.7371,1949.1829
3P-O_Glc,4_11947,E05,Meas A,537.0000,3P-O_Glc,4_11947,E05,Meas B,0.0410,13097.5610,9680.3049,3816.2080
2P-O_Glc,4_11947,E06,Meas A,532.0000,2P-O_Glc,4_11947,E06,Meas B,0.0430,12372.0930,10036.4341,3018.0273
1P-O_Glc,4_11947,E07,Meas A,533.0000,1P-O_Glc,4_11947,E07,Meas B,0.0440,12113.6364,9024.3050,3743.0528
3M-O_Glc,4_11947,E08,Meas A,483.0000,3M-O_Glc,4_11947,E08,Meas B,0.0470,10276.5957,7830.6531,2843.6484
2M-O_Glc,4_11947,E09,Meas A,500.0000,2M-O_Glc,4_11947,E09,Meas B,0.0460,10869.5652,8265.8829,3238.8274
1M-O_Glc,4_11947,E10,Meas A,542.0000,1M-O_Glc,4_11947,E10,Meas B,0.0470,11531.9149,8952.1248,2568.7316
3S-O_CAA,4_11947,F02,Meas A,618.0000,3S-O_CAA,4_11947,F02,Meas B,0.1890,3269.8413,2655.1656,534.6975
2S-O_CAA,4_11947,F03,Meas A,677.0000,2S-O_CAA,4_11947,F03,Meas B,0.1870,3620.3209,3042.0969,514.4000
1S-O_CAA,4_11947,F04,Meas A,724.0000,1S-O_CAA,4_11947,F04,Meas B,0.1900,3810.5263,3436.1442,630.6486
3P-O_CAA,4_11947,F05,Meas A,645.0000,3P-O_CAA,4_11947,F05,Meas B,0.1640,3932.9268,3345.8005,598.4740
2P-O_CAA,4_11947,F06,Meas A,642.0000,2P-O_CAA,4_11947,F06,Meas B,0.1130,5681.4159,4449.2806,1325.8072
1P-O_CAA,4_11947,F07,Meas A,845.0000,1P-O_CAA,4_11947,F07,Meas B,0.1430,5909.0909,4122.9246,1263.4375
3M-O_CAA,4_11947,F08,Meas A,603.0000,3M-O_CAA,4_11947,F08,Meas B,0.1840,3277.1739,2919.4924,545.4325
2M-O_CAA,4_11947,F09,Meas A,759.0000,2M-O_CAA,4_11947,F09,Meas B,0.2000,3795.0000,3034.0173,569.0498
1M-O_CAA,4_11947,F10,Meas A,751.0000,1M-O_CAA,4_11947,F10,Meas B,0.2130,3525.8216,3074.7850,319.0768
3S_Glc,4_11947,G02,Meas A,499.0000,3S_Glc,4_11947,G02,Meas B,0.0450,11088.8889,9190.6022,1787.6518
2S_Glc,4_11947,G03,Meas A,424.0000,2S_Glc,4_11947,G03,Meas B,0.0480,8833.3333,7932.7020,1806.5511
1S_Glc,4_11947,G04,Meas A,598.0000,1S_Glc,4_11947,G04,Meas B,0.0450,13288.8889,9588.6942,2798.5952
3P_Glc,4_11947,G05,Meas A,562.0000,3P_Glc,4_11947,G05,Meas B,0.0430,13069.7674,8983.0777,2979.8738
2P_Glc,4_11947,G06,Meas A,636.0000,2P_Glc,4_11947,G06,Meas B,0.0440,14454.5455,9426.3834,4098.3023
1P_Glc,4_11947,G07,Meas A,511.0000,1P_Glc,4_11947,G07,Meas B,0.0430,11883.7209,9702.2104,2885.5205
3M_Glc,4_11947,G08,Meas A,544.0000,3M_Glc,4_11947,G08,Meas B,0.0440,12363.6364,9094.5960,2489.7957
2M_Glc,4_11947,G09,Meas A,563.0000,2M_Glc,4_11947,G09,Meas B,0.0480,11729.1667,9086.1333,2149.9353
1M_Glc,4_11947,G10,Meas A,478.0000,1M_Glc,4_11947,G10,Meas B,0.0440,10863.6364,8462.1062,2740.4955
3S_CAA,4_11947,H02,Meas A,502.0000,3S_CAA,4_11947,H02,Meas B,0.1790,2804.4693,2544.2280,292.5074
2S_CAA,4_11947,H03,Meas A,862.0000,2S_CAA,4_11947,H03,Meas B,0.1980,4353.5354,3846.1739,526.1135
1S_CAA,4_11947,H04,Meas A,708.0000,1S_CAA,4_11947,H04,Meas B,0.1950,3630.7692,3047.1006,495.0941
3P_CAA,4_11947,H05,Meas A,632.0000,3P_CAA,4_11947,H05,Meas B,0.1620,3901.2346,2892.1083,874.7672
2P_CAA,4_11947,H06,Meas A,681.0000,2P_CAA,4_11947,H06,Meas B,0.1540,4422.0779,3717.1756,859.7650
1P_CAA,4_11947,H07,Meas A,706.0000,1P_CAA,4_11947,H07,Meas B,0.1500,4706.6667,3573.1961,960.6124
3M_CAA,4_11947,H08,Meas A,587.0000,3M_CAA,4_11947,H08,Meas B,0.1970,2979.6954,2569.9421,380.4548
2M_CAA,4_11947,H09,Meas A,1004.0000,2M_CAA,4_11947,H09,Meas B,0.1850,5427.0270,4347.8759,865.4118
1M_CAA,4_11947,H10,Meas A,747.0000,1M_CAA,4_11947,H10,Meas B,0.2210,3380.0905,2671.3731,482.5770
